Question	Gold	Top3_Distractors	Q_Coarse	Q_Fine	Gold_spaCy	Candidate_Type
Who became prime minister on June 12, 1991?	None	[]	None	None	None	set()	
On what date were the Belavezha Accords rejected?	None	[]	None	None	None	set()	
When did the Russian Parliament reject the Belavezha Accords?	None	[]	None	None	None	set()	
What agreement did the Belavezha Accords superimpose?	None	[]	None	None	None	set()	
What was the new name given to the RSFSR on December 25, 1991?	Russian Federation	['the United Nations', 'the Supreme Soviet', 'the Russian SFSR']	None	None	ORG	{'ORG'}	
On what date was the USSR dissolved?	December 26, 1991	['December 25, 1991', 'December 30, 1922', 'December 8, 1991']	None	None	DATE	{'DATE'}	
What body was responsible for the dissolution of the USSR?	Soviet of Nationalities	['Sovdepia', 'Rossiyskaya Sovetskaya Federativnaya Sotsialisticheskaya Respublika  ']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What house of the Supreme Soviet was not functioning as of December 26, 1991?	Soviet of the Union	['Central Black Soil Region', 'Georgian', 'Russian']	None	None	NORP	{'NORP'}	
What was one right of the Soviet government that the government of Russia assumed?	UN membership	['March 3, 1918', 'March 3, 1944', 'June 12, 1990']	None	None	DATE	{'DATE'}	
What was the new name given to the RSFSR on November 25, 1991	None	[]	None	None	None	set()	
On what date was the USSR resolved?	None	[]	None	None	None	set()	
What body was responsible for the solution of the USSR?	None	[]	None	None	None	set()	
What house of the Supreme Soviet was functioning as of December 26, 1991?	None	[]	None	None	None	set()	
What was one right of the Soviet government that the citizens of Russia assumed?	None	[]	None	None	None	set()	
On what date was the state named the Soviet Russian Republic?	January 25, 1918	['January 31, 1924', 'February 8, 1955', 'December 5, 1936']	None	None	DATE	{'DATE'}	
What body renamed the state the Soviet Russian Republic?	All-Russian Congress of Soviets	['Council of Ministers–Government', 'the All-Russian Congress of', 'the First Congress of the Soviets of']	None	None	ORG	{'ORG'}	
When was the Treaty of Brest-Litovsk signed?	March 3, 1918	['March 3, 1944', 'July 10, 1918', 'June 12, 1990']	None	None	DATE	{'DATE'}	
The Treaty of Brest-Litovsk ceded land to what state?	Germany	['Belarus', 'Crimea', "the People's Republic of China"]	None	None	GPE	{'GPE'}	
What document renamed the state the Russian Socialist Federative Soviet Republic?	Russian Constitution of 1918	[]	None	None	None	set()	
On what date was the state named the Soviet Communist Republic?	None	[]	None	None	None	set()	
What head renamed the state the Soviet Russian Republic?	None	[]	None	None	None	set()	
When was the Treaty of Brest-Litovsk rejected?	None	[]	None	None	None	set()	
The Treaty of Brest-Litovsk took land from what state?	None	[]	None	None	None	set()	
What person renamed the state the Russian Socialist Federative Soviet Republic?	None	[]	None	None	None	set()	
What treaty resulted in the recognition of the RSFSR by Latvia and other states?	Treaty of Tartu	[]	None	None	None	set()	
Along with Estonia, Latvia, Finland and Lithuania, what state recognized the RSFSR in 1920?	Irish Republic	['Russian Empire', 'Autonomous Soviet Socialist Republic', 'Soviet Union']	None	None	GPE	{'GPE'}	
What treaty resulted in the nonrecognition of the RSFSR by Latvia and other states?	None	[]	None	None	None	set()	
Along with Estonia, Latvia, Finland and Lithuania, what state went didn't recognize the RSFSR in 1920?	None	[]	None	None	None	set()	
What year was the RSFSW nor recognized as an independent state?	None	[]	None	None	None	set()	
What didn't happen in 1920?	None	[]	None	None	None	set()	
Which countries refused to recognize the RSFSR?	None	[]	None	None	None	set()	
What was the common name of the Soviet Union?	Russia	['Crimea', 'Moscow', 'Latvia']	None	None	GPE	{'GPE'}	
Technically, what type of state was Russia?	republic	[]	None	None	None	set()	
What was the largest republic in the Soviet Union?	Russia	['Crimea', 'Moscow', 'Latvia']	None	None	GPE	{'GPE'}	
What was the uncommon name of the Soviet Union?	None	[]	None	None	None	set()	
Technically, what type of state wasn't Russia?	None	[]	None	None	None	set()	
What was the smallest republic in the Soviet Union?	None	[]	None	None	None	set()	
Which republic was the least developed?	None	[]	None	None	None	set()	
Which republic was the least powerful?	None	[]	None	None	None	set()	
What percentage of the RSFSR was made up of plains?	70%	[]	None	None	None	set()	
In what part of the RSFSR did tundra mainly exist?	the east	[]	None	None	None	set()	
Along with petroleum and iron ore, what resource was abundant in the RSFSR?	natural gas	[]	None	None	None	set()	
What percentage of the RSFSR wasn't made up of plains?	None	[]	None	None	None	set()	
In what part of the RSFSR did tundra mainly not exist?	None	[]	None	None	None	set()	
Along with petroleum and iron ore, what resource was depleted in the RSFSR?	None	[]	None	None	None	set()	
What scarce resources are there?	None	[]	None	None	None	set()	
Where are the desert regions mainly concentrated?	None	[]	None	None	None	set()	
On what date was the Treaty on the Creation of the USSR passed?	December 30, 1922	['December 26, 1991', 'December 25, 1991', 'December 8, 1991']	None	None	DATE	{'DATE'}	
What body passed the Treaty on the Creation of the USSR?	First Congress of the Soviets of the USSR	['the First Congress of the Soviets of', 'the All-Russian Congress of Soviets', "the Democratic People's Republic of Korea"]	None	None	ORG	{'ORG'}	
Along with the Ukrainian Soviet Socialist Republic and Byelorussian Soviet Socialist Republic, what state joined Russia to form the Soviet Union?	Transcaucasian Soviet Federal Socialist Republic	['the Russian Socialist Federative Soviet Republic', "the Congress of People's Deputies of the Republic", 'The Karakalpak Autonomous Socialist Soviet Republic']	None	None	ORG	{'ORG'}	
On what date was the 1924 Soviet Constitution adopted?	January 31, 1924	['January 25, 1918', 'February 8, 1955', 'October 11, 1944']	None	None	DATE	{'DATE'}	
What body adopted the 1924 Soviet Constitution?	the Second Congress of Soviets of the USSR	[]	None	None	None	set()	
On what date was the Treaty on the Creation of the USSR rejected?	None	[]	None	None	None	set()	
What body rejected the Treaty on the Creation of the USSR?	None	[]	None	None	None	set()	
Along with the Ukrainian Soviet Socialist Republic and Byelorussian Soviet Socialist Republic, what state didn't join Russia to form the Soviet Union?	None	[]	None	None	None	set()	
On what date was the 1942 Soviet Constitution adopted?	None	[]	None	None	None	set()	
What body rejected the 1924 Soviet Constitution?	None	[]	None	None	None	set()	
During what span was there a famine in the Soviet Union?	1932–1933	['Viskuli', '1991–1992', '1978–1991']	None	None	CARDINAL	{'CARDINAL'}	
What document was ratified on December 5, 1936?	the 1936 Soviet Constitution	[]	None	None	None	set()	
What were the Kazakh ASSR and Kirghiz ASSR renamed per the 1936 Soviet Constitution?	the Kazakh and Kirghiz Soviet Socialist Republics	['the Russian Soviet Federative Socialist Republic', "the People's Republic of China", 'the Soviet Union']	None	None	GPE	{'GPE'}	
What republic did the Karakalpak Autonomous Socialist Soviet Republic become a part of?	the Uzbek SSR	[]	None	None	None	set()	
What effect did the 1936 Soviet Constitution have on the size of the Russia?	reduced	[]	None	None	None	set()	
During what span was there a feast in the Soviet Union?	None	[]	None	None	None	set()	
What document was rejected on December 5, 1936?	None	[]	None	None	None	set()	
What were the Kazakh ASSR and Kirghiz ASSR not named per the 1936 Soviet Constitution?	None	[]	None	None	None	set()	
What republic did the Karakalpak Autonomous Socialist Soviet Republic cease being a part of?	None	[]	None	None	None	set()	
What effect did the 1963 Soviet Constitution have on the size of the Russia?	None	[]	None	None	None	set()	
What was Soviet Russia called as of 1937?	the Russian Soviet Federative Socialist Republic	['the Soviet Russian Republic', 'Autonomous Soviet Socialist Republic', 'the Russian Republic']	None	None	GPE	{'GPE'}	
What document changed the name of Russia in 1937?	the Russian Constitution of 1937	['Western Siberia', 'Central Asia', 'the Black sea']	None	None	LOC	{'LOC'}	
What was Soviet Russia not called as of 1937?	None	[]	None	None	None	set()	
What was Soviet Russia called as of 1973?	None	[]	None	None	None	set()	
What document changed the name of Russia in 1973?	None	[]	None	None	None	set()	
What document kept the name of Russia in 1937?	None	[]	None	None	None	set()	
The final name for the republic during the Soviet era was rejected by the Russian Constitution of 1937	None	[]	None	None	None	set()	
What state was dissolved on March 3, 1944?	the Chechen-Ingush ASSR	['the UN Security Council', 'the Russian Parliament', 'the Central Committee']	None	None	ORG	{'ORG'}	
Who ordered the deportation of the residents of the Chechen-Ingush ASSR?	Stalin	['Byelorussian Soviet Socialist Republic', 'Vladimir Lenin', 'Mikhail Gorbachev']	None	None	PERSON	{'PERSON'}	
Why were the residents of the Chechen-Ingush ASSR deported?	accusations of collaboration with the invaders and separatism	['Rossiyskaya Sovetskaya Federativnaya Sotsialisticheskaya Respublika  ', 'Sovdepia']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Along with the RSFSR, what republic received territory from the former Chechen-Ingush ASSR?	Georgian SSR	[]	None	None	None	set()	
What state was created on March 3, 1944?	None	[]	None	None	None	set()	
Who ordered the naturalization of the residents of the Chechen-Ingush ASSR?	None	[]	None	None	None	set()	
Why were the residents of the Chechen-Ingush ASSR not deported?	None	[]	None	None	None	set()	
Along with the RSFSR, what republic didn't receive territory from the former Chechen-Ingush ASSR?	None	[]	None	None	None	set()	
What state was dissolved on March 4, 1943?	None	[]	None	None	None	set()	
What was the Tuvan People's Republic renamed when it joined the RSFSR?	Tuvan Autonomous Oblast	['Sakhalin Island', 'Tsardom', 'the Pacific Ocean']	None	None	LOC	{'LOC'}	
On what date did the Tuvan People's Republic join the Russian SFSR?	October 11, 1944	['October 24, 1945', 'December 8, 1991', 'December 5, 1936']	None	None	DATE	{'DATE'}	
What did the former Tuvan People's Republic become in 1961?	an Autonomous Soviet Socialist Republic	['Sovdepia', 'Rossiyskaya Sovetskaya Federativnaya Sotsialisticheskaya Respublika  ']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What was the Tuvan People's Republic renamed when it exited the RSFSR?	None	[]	None	None	None	set()	
On what date did the Tuvan People's Republic leave the Russian SFSR?	None	[]	None	None	None	set()	
What did the former Tuvan People's Republic become in 1916?	None	[]	None	None	None	set()	
What happened on October 11, 1941?	None	[]	None	None	None	set()	
What wasn't renamed to Tuvan Autonomous Oblast?	None	[]	None	None	None	set()	
Along with Estonia, what country was taken over by the Russian SFSR in 1944?	Latvia	['Crimea', 'Russia', 'Moscow']	None	None	GPE	{'GPE'}	
What modern districts of Estonia and Latvia were annexed by the RSFSR in 1944?	Pechorsky and Pytalovsky Districts	['Sovdepia', 'Rossiyskaya Sovetskaya Federativnaya Sotsialisticheskaya Respublika  ']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Near what town did the RSFSR annex territory in 1944?	Ivangorod	['Kirghiz', 'Communist Party', 'RSFSR']	None	None	ORG	{'ORG'}	
Along with Estonia, what country was left alone by the Russian SFSR in 1944?	None	[]	None	None	None	set()	
What modern districts of Estonia and Latvia were annexed by the RSFSR in 1934?	None	[]	None	None	None	set()	
Near what town did the RSFSR leave territory in 1944?	None	[]	None	None	None	set()	
What happened to Estonia and Latvia in 1494?	None	[]	None	None	None	set()	
Along with Latvia, what country was traded over by the Russian SFSR in 1944?	None	[]	None	None	None	set()	
Along with Sakhalin Island, what islands were occupied by the Soviets after the Second World War?	Kuril Islands	[]	None	None	None	set()	
